"","SGEN","AK_503","AK_105","AK_110","AK_205","AK_206","AK_207","AK_211","Weight","prespref","no_impeach","mythPID3","faction","IDEO5","ideoparty","pop401","pop402","pop403","pop406","popscale","POP_antielite","POP_antiexpert","POP_nationalID","over50","male2","white","collplus","SEN_R1","SEN_R2","SEN_R3","SEN_Order1","SEN_Order2","h2h_MT","h2h_MC","h2h_CT","HousePref","murkpelt","votestrategy","exp_confidence","exp_easy","exp_benefit","exp_AKsystem","primpref1","primpref2","primpref3","ruleorder"
"250","M",2,1,5,1,1,9,1,0.78763,0,1,1,2,3,2,-1,-1,0,2,0,0.25,0.5,1,1,0,1,0,1,1,1,1,5,1,1,3,1,1,1,1,1,2,2,2,2,1,2
"251","M",1,1,5,1,1,2,3,0.86392,0,0,2,2,3,3,0,-2,-2,2,-2,0.25,0,1,1,1,1,0,1,1,1,1,4,1,1,1,1,1,3,1,1,2,1,1,1,2,3
"252","F",2,2,10,2,9,1,1,0.56309,1,1,3,5,5,5,2,0,1,2,5,0.75,0.75,1,1,0,1,1,2,2,2,2,5,2,3,2,3,0,1,NA,2,2,3,2,3,1,2
"253","F",2,1,9,1,1,2,3,0.966,0,0,1,3,1,1,1,1,-1,1,2,0.75,0.25,0.75,0,0,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"254","F",2,1,4,1,1,9,1,1.41308,0,0,1,2,3,2,-1,-1,-1,1,-2,0.25,0.25,0.75,0,0,0,1,1,1,1,1,5,1,1,3,1,1,1,3,1,2,2,3,3,3,NA
"255","M",2,1,9,1,1,2,9,0.28926,0,0,1,3,3,2,2,-1,2,2,5,0.625,1,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,NA,1,2,2,3,1,1,3,3
"256","F",1,2,12,2,2,1,1,0.86392,1,1,2,4,4,3,0,2,1,2,5,0.75,0.75,1,1,1,1,0,2,2,2,2,5,2,2,2,2,0,1,1,1,2,3,2,2,1,2
"257","F",1,2,10,2,2,1,2,0.9378,1,1,3,5,5,5,-1,-1,1,2,1,0.25,0.75,1,1,1,0,1,2,2,2,2,4,2,2,2,3,0,2,2,1,3,3,1,2,3,4
"258","M",1,1,5,1,2,2,2,0.61825,0,0,1,2,2,1,0,-1,-1,1,-1,0.375,0.25,0.75,1,1,1,0,3,3,1,3,1,1,2,1,1,0,2,1,1,2,1,2,1,2,1
"259","F",1,2,12,2,2,1,1,0.70706,1,1,3,4,5,5,1,1,1,1,4,0.75,0.75,0.75,1,1,0,1,2,2,2,2,4,2,2,2,2,0,1,3,1,3,3,1,2,1,4
